x (microm)	Transmission
0	0.5470
4.4	0.5330
8.8	0.5016
13.2	0.3914
17.6	0.3395
22	0.3243
26.4	0.3081
30.8	0.2951
35.2	0.2281
39.6	0.2400
44	0.2778
48.4	0.2800
52.8	0.2508
57.2	0.2097
61.6	0.2097
66	0.1903
70.4	0.1751
74.8	0.1827
79.2	0.1741
83.6	0.1741
88	0.1686
92.4	0.1827
96.8	0.2000
101.2	0.2314
105.6	0.2692
110	0.3092
114.4	0.3319
118.8	0.3751
123.2	0.4259
127.6	0.4692
132	0.5211
136.4	0.5600
140.8	0.6497
145.2	0.7232
149.6	0.7622
154	0.8541
158.4	0.9146
162.8	0.9211
167.2	0.9276
171.6	0.9751
176	0.9924
180.4	0.9535
184.8	0.8519
189.2	0.7730
193.6	0.7405
198	0.7049
202.4	0.6022
206.8	0.5384
211.2	0.4486
215.6	0.3492
220	0.2919
224.4	0.2216
228.8	0.1697
233.2	0.1286
237.6	0.0811
242	0.0703
246.4	0.0800
250.8	0.0897
255.2	0.0800
259.6	0.0714
264	0.0897
268.4	0.0962
272.8	0.1038
277.2	0.1232
281.6	0.1373
286	0.1795
290.4	0.2486
294.8	0.3016
299.2	0.3827
303.6	0.4357
308	0.5276
312.4	0.6238
316.8	0.6930
321.2	0.7524
325.6	0.8346
330	0.8757
334.4	0.8573
338.8	0.8497
343.2	0.8162
347.6	0.7481
352	0.6832
356.4	0.6476
360.8	0.5914
365.2	0.4692
369.6	0.4119
374	0.3589
378.4	0.3200
382.8	0.2573
387.2	0.2130
391.6	0.1968
396	0.1719
400.4	0.1568
404.8	0.1546
409.2	0.1416
413.6	0.1330
418	0.1459
422.4	0.1481
426.8	0.1622
431.2	0.1924
435.6	0.2249
440	0.2249
444.4	0.2259
448.8	0.2724
453.2	0.3459
457.6	0.4303
462	0.4757
466.4	0.5243
470.8	0.5957
475.2	0.6314
479.6	0.6595
484	0.7503
488.4	0.8486
492.8	0.8811
497.2	0.8876
501.6	0.8173
506	0.7438
510.4	0.6757
514.8	0.6249
519.2	0.6032
523.6	0.5492
528	0.5059
532.4	0.4746
536.8	0.4141
541.2	0.3492
545.6	0.2951
550	0.2432
554.4	0.1838
558.8	0.1438
563.2	0.1254
567.6	0.1168
572	0.1114
576.4	0.1222
580.8	0.1211
585.2	0.1135
589.6	0.1243
594	0.1568
598.4	0.1859
602.8	0.1968
607.2	0.2573
611.6	0.3362
616	0.3892
620.4	0.4800
624.8	0.5827
629.2	0.7092
633.6	0.7697
638	0.7762
642.4	0.7481
646.8	0.6822
651.2	0.6281
655.6	0.6670
660	0.6800
664.4	0.6627
668.8	0.7265
673.2	0.7103
677.6	0.6259
682	0.5773
686.4	0.5503
690.8	0.4659
695.2	0.3805
699.6	0.3124
704	0.2789
708.4	0.2724
712.8	0.2605
717.2	0.2432
721.6	0.2205
726	0.1914
730.4	0.1946
734.8	0.1978
739.2	0.2097
743.6	0.2043
748	0.1870
752.4	0.1989
756.8	0.2270
761.2	0.2757
765.6	0.2854
770	0.2854
774.4	0.3557
778.8	0.4584
783.2	0.5405
787.6	0.6130
792	0.6573
