x (microm)	Transmission
0	0.0141
4.4	0.0778
8.8	0.0885
13.2	0.1059
17.6	0.1580
22	0.1944
26.4	0.2192
30.8	0.2514
35.2	0.2845
39.6	0.3036
44	0.3747
48.4	0.4227
52.8	0.4624
57.2	0.5418
61.6	0.5575
66	0.5385
70.4	0.5964
74.8	0.6112
79.2	0.5939
83.6	0.5699
88	0.5236
92.4	0.4698
96.8	0.4400
101.2	0.4615
105.6	0.4632
110	0.3772
114.4	0.3143
118.8	0.2374
123.2	0.1729
127.6	0.1158
132	0.0422
136.4	0.0033
140.8	0.0000
145.2	0.0000
149.6	0.0000
154	0.0000
158.4	0.0000
162.8	0.0000
167.2	0.0000
171.6	0.0000
176	0.0000
180.4	0.0000
184.8	0.0083
189.2	0.0215
193.6	0.0372
198	0.1150
202.4	0.2084
206.8	0.2423
211.2	0.2945
215.6	0.3730
220	0.4367
224.4	0.5269
228.8	0.6013
233.2	0.6311
237.6	0.6402
242	0.6468
246.4	0.6882
250.8	0.7543
255.2	0.7370
259.6	0.6956
264	0.6625
268.4	0.5649
272.8	0.5070
277.2	0.4367
281.6	0.3565
286	0.3019
290.4	0.2357
294.8	0.1315
299.2	0.0513
303.6	0.0066
308	0.0000
312.4	0.0000
316.8	0.0000
321.2	0.0000
325.6	0.0000
330	0.0000
334.4	0.0000
338.8	0.0000
343.2	0.0083
347.6	0.0513
352	0.0868
356.4	0.1034
360.8	0.1663
365.2	0.2117
369.6	0.2523
374	0.3110
378.4	0.3763
382.8	0.4425
387.2	0.4897
391.6	0.4830
396	0.5095
400.4	0.5525
404.8	0.5765
409.2	0.5782
413.6	0.5815
418	0.5881
422.4	0.5749
426.8	0.5393
431.2	0.4971
435.6	0.4500
440	0.4301
444.4	0.3788
448.8	0.3201
453.2	0.2506
457.6	0.1547
462	0.0587
466.4	0.0074
470.8	0.0000
475.2	0.0000
479.6	0.0000
484	0.0000
488.4	0.0000
492.8	0.0000
497.2	0.0000
501.6	0.0000
506	0.0050
510.4	0.0538
514.8	0.1084
519.2	0.1696
523.6	0.2167
528	0.2481
532.4	0.3176
536.8	0.3490
541.2	0.4351
545.6	0.5244
550	0.5376
554.4	0.5608
558.8	0.5997
563.2	0.5955
567.6	0.5674
572	0.6187
576.4	0.7163
580.8	0.7031
585.2	0.6377
589.6	0.6096
594	0.5542
598.4	0.5095
602.8	0.4955
607.2	0.4508
611.6	0.3714
616	0.2622
620.4	0.1977
624.8	0.1646
629.2	0.1191
633.6	0.0844
638	0.0463
642.4	0.0025
646.8	0.0000
651.2	0.0000
655.6	0.0000
660	0.0000
664.4	0.0000
668.8	0.0066
673.2	0.0604
677.6	0.1150
682	0.1481
686.4	0.1869
690.8	0.2349
695.2	0.3623
699.6	0.5591
704	0.7105
708.4	0.7626
712.8	0.7304
717.2	0.6907
721.6	0.7849
726	0.8726
730.4	0.8354
734.8	0.7783
739.2	0.7328
743.6	0.6691
748	0.6303
752.4	0.6071
756.8	0.5790
761.2	0.5062
765.6	0.4582
770	0.3664
774.4	0.2895
778.8	0.1952
783.2	0.1472
787.6	0.0844
792	0.0182
796.4	0.0000
800.8	0.0000
805.2	0.0000
809.6	0.0000
814	0.0000
818.4	0.0000
822.8	0.0000
827.2	0.0008
831.6	0.0008
836	0.0554
840.4	0.1117
844.8	0.1340
849.2	0.2076
853.6	0.2548
858	0.3135
862.4	0.3805
866.8	0.4475
871.2	0.5434
875.6	0.5773
880	0.6013
884.4	0.6716
888.8	0.7155
893.2	0.7237
897.6	0.7560
902	0.7849
906.4	0.7171
910.8	0.6344
915.2	0.6716
919.6	0.6725
924	0.6022
928.4	0.5120
932.8	0.4342
937.2	0.3325
941.6	0.2754
946	0.2159
950.4	0.1762
954.8	0.1150
959.2	0.0422
963.6	0.0083
968	0.0000
972.4	0.0000
976.8	0.0000
981.2	0.0000
985.6	0.0000
990	0.0000
994.4	0.0008
998.8	0.0513
1003.2	0.1332
1007.6	0.2002
1012	0.2200
1016.4	0.2680
1020.8	0.3548
1025.2	0.4152
1029.6	0.4814
1034	0.6112
1038.4	0.7188
1042.8	0.8280
1047.2	0.8958
1051.6	0.9446
1056	0.9975
1060.4	1.0000
1064.8	0.9471
1069.2	0.8784
1073.6	0.8404
1078	0.8627
1082.4	0.7998
1086.8	0.6286
1091.2	0.4938
1095.6	0.3921
1100	0.3416
1104.4	0.2903
1108.8	0.2572
1113.2	0.2101
1117.6	0.1514
1122	0.1216
1126.4	0.0438
1130.8	0.0058
1135.2	0.0000
1139.6	0.0000
1144	0.0000
1148.4	0.0000
1152.8	0.0000
1157.2	0.0099
1161.6	0.0629
1166	0.1720
1170.4	0.2614
1174.8	0.3532
